Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202506020211,第99回中山記念(GII),3,3,8,ソウルラッシュ,202506020211|8|ソウルラッシュ,4,牡7,59,団野大成,1:45.0,1.1/4,9-9-8-7,34.1,508(-9),[西] 池江泰寿,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),4,4,5,タイムトゥヘヴン,202506020211|5|タイムトゥヘヴン,3,牡7,57,田辺裕信,1:45.3,1.3/4,15-15-13-14,34.0,490(+6),[東] 戸田博文,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),5,5,16,クルゼイロドスル,202506020211|16|クルゼイロドスル,8,牡5,57,荻野極,1:45.3,クビ,6-3-5-7,34.6,502(+2),[西] 高橋義忠,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),6,6,7,メイショウチタン,202506020211|7|メイショウチタン,4,牡8,57,吉田豊,1:45.3,アタマ,1-1-1-1,35.3,476(-4),[西] 本田優,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),7,7,11,グランディア,202506020211|11|グランディア,6,セ6,57,三浦皇成,1:45.4,クビ,11-11-11-10,34.3,486(+6),[西] 中内田充,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),8,8,3,ボーンディスウェイ,202506020211|3|ボーンディスウェイ,2,牡6,57,木幡巧也,1:45.5,1,5-6-5-5,34.8,496(-2),[東] 牧光二,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),9,9,9,マテンロウスカイ,202506020211|9|マテンロウスカイ,5,セ6,58,横山典弘,1:45.6,クビ,6-7-8-10,34.7,482(-4),[西] 松永幹夫,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),10,10,6,カラテ,202506020211|6|カラテ,3,牡9,57,菅原明良,1:45.7,3/4,14-14-15-14,34.2,532(-6),[西] 音無秀孝,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),11,11,15,サイルーン,202506020211|15|サイルーン,8,セ6,57,キング,1:45.7,クビ,11-11-13-13,34.5,486(+14),[東] 堀宣行,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),12,12,10,アルナシーム,202506020211|10|アルナシーム,5,牡6,57,藤岡佑介,1:45.9,3/4,9-9-11-10,34.8,448(-4),[西] 橋口慎介,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),13,13,12,ボッケリーニ,202506020211|12|ボッケリーニ,6,牡9,57,浜中俊,1:45.9,1/2,2-3-3-3,35.4,466(-8),[西] 池江泰寿,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),14,14,13,グラティアス,202506020211|13|グラティアス,7,牡7,57,横山和生,1:45.9,ハナ,2-2-2-2,35.7,508(+2),[西] 安田翔伍,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),15,15,2,リフレーミング,202506020211|2|リフレーミング,1,牡7,57,内田博幸,1:46.0,1/2,16-16-16-16,34.3,480(+14),[西] 鮫島一歩,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),16,16,14,パラレルヴィジョン,202506020211|14|パラレルヴィジョン,7,牡6,57,戸崎圭太,1:46.4,2.1/2,13-13-3-5,35.9,488(-4),[東] 国枝栄,https://db.netkeiba.com/race/202506020211/
202506030111,第73回日経賞(GII),1,1,8,マイネルエンペラー,202506030111|8|マイネルエンペラー,5,牡5,57,丹内祐次,2:36.1,,3-3-3-2,37.0,488(+2),[西] 清水久詞,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),2,2,6,チャックネイト,202506030111|6|チャックネイト,4,セ7,57,モレイラ,2:36.1,クビ,8-8-8-7,36.5,494(-4),[東] 堀宣行,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),3,3,7,アーバンシック,202506030111|7|アーバンシック,4,牡4,58,ルメール,2:36.2,クビ,9-10-8-7,36.6,514(-2),[東] 武井亮,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),4,4,15,リビアングラス,202506030111|15|リビアングラス,8,牡5,57,松山弘平,2:36.2,クビ,2-2-2-2,37.2,494(-6),[西] 矢作芳人,https://db.netkeiba.com/race/202506030111/
202506030111,第73回日経賞(GII),5,5,11,マイネルクリソーラ,202506030111|11|マイネルクリソーラ,6,牡6,57,菅原明良,2:36.2,アタマ,11-13-11-10,36.4,464(+2),[東] 手塚貴久,https://db.netkeiba.com/race/202506030111/
